stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Programming\C Workspace\Final_Project\tutorial\task4\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02248] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02251] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02259] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02262] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02264] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02266] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02273] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02274] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02276] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02278] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02282] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.02284] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.02366] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.02371] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.04886] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.07226] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.07232] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.07237] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.07242] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.07246] Returning d3d_display: 0000000000f29f40
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.07249] al_display=0000000000f29f40
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.07251] al_display->vt=0000000000f29dd0
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.07282] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.07285] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.07353] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.07357] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.07788] added dtor for queue 00000000026eed20, func 00007ffdb608c5dc
dtor     D               dtor.c:227  _al_unregister_destructor        [   8.76901] removed dtor for queue 00000000026eed20
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [   8.76909] destroying display 0000000000f29f40 (current 0000000000000000)
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [   8.77211] waiting for display 0000000000f29f40's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   8.78512] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   8.78525] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [   8.79164] d3d display thread exits
